midge-ID  ; genome copies per individuum 
1-BTV3 6dpi 119;0
1-BTV3 6dpi 120;6.14E+01
1-BTV3 6dpi 121;5.10E+02
1-BTV3 6dpi 122;1.19E+02
1-BTV3 6dpi 123;0
1-BTV3 6dpi 124;0
1-BTV3 6dpi 125;0
1-BTV3 6dpi 126;3.29E+02
1-BTV3 6dpi 127;0
1-BTV3 6dpi 128;0
1-BTV3 6dpi 129;0
1-BTV3 6dpi 130;1.32E+02
1-BTV3 6dpi 131;6.65E+02
1-BTV3 6dpi 132;0
1-BTV3 6dpi 133;0
1-BTV3 6dpi 134;0
1-BTV3 6dpi 135;6.85E+01
1-BTV3 6dpi 136;0
1-BTV3 6dpi 137;7.12E+01
1-BTV3 6dpi 138;3.27E+08
1-BTV3 6dpi 139;6.66E+01
1-BTV3 6dpi 140;0
1-BTV3 6dpi 141;6.24E+01
1-BTV3 6dpi 142;0
1-BTV3 6dpi 143;0
1-BTV3 6dpi 144;7.35E+01
1-BTV3 6dpi 145;0
1-BTV3 6dpi 146;3.36E+08
1-BTV3 6dpi 147;4.96E+01
1-BTV3 6dpi 148;0
1-BTV3 6dpi 149;1.12E+02
1-BTV3 6dpi 150;3.98E+04
1-BTV3 6dpi 151;2.50E+08
1-BTV3 6dpi 152;0
1-BTV3 6dpi 153;9.66E+01
1-BTV3 6dpi 154;0
1-BTV3 6dpi 155;0
1-BTV3 6dpi 156;5.66E+07
1-BTV3 6dpi 157;0
1-BTV3 6dpi 158;0
1-BTV3 6dpi 159;6.28E+01
1-BTV3 6dpi 160;0
1-BTV3 6dpi 161;0
1-BTV3 6dpi 162;0
1-BTV3 6dpi 163;0
1-BTV3 6dpi 164;0
1-BTV3 6dpi 165;1.12E+02
1-BTV3 6dpi 166;0
1-BTV3 6dpi 167;0
1-BTV3 6dpi 168;3.80E+01
1-BTV3 6dpi 169;0
1-BTV3 6dpi 170;0
1-BTV3 6dpi 171;0
1-BTV3 6dpi 172;2.07E+02
1-BTV3 6dpi 173;0
1-BTV3 6dpi 174;0
1-BTV3 6dpi 175;3.90E+02
1-BTV3 6dpi 176;0
1-BTV3 6dpi 177;0
1-BTV3 6dpi 178;0
1-BTV3 6dpi 179;0
1-BTV3 6dpi 180;0
1-BTV3 6dpi 181;1.06E+02
1-BTV3 6dpi 182;0
1-BTV3 6dpi 183;4.96E+02
1-BTV3 6dpi 184;0
1-BTV3 6dpi 185;0
1-BTV3 6dpi 186;0
1-BTV3 6dpi 187;0
1-BTV3 6dpi 188;0
1-BTV3 6dpi 189;1.54E+08
1-BTV3 6dpi 190;4.27E+07
1-BTV3 6dpi 191;0
1-BTV3 6dpi 192;0
1-BTV3 6dpi 193;0
1-BTV3 6dpi 194;0
1-BTV3 6dpi 195;3.50E+02
1-BTV3 6dpi 196;0
1-BTV3 6dpi 197;0
1-BTV3 6dpi 198;0
1-BTV3 6dpi 199;2.37E+02
1-BTV3 6dpi 200;0
1-BTV3 6dpi 201;1.54E+02
1-BTV3 6dpi 202;0
1-BTV3 6dpi 203;0
1-BTV3 6dpi 204;0
1-BTV3 6dpi 205;0
1-BTV3 6dpi 206;4.31E+01
1-BTV3 6dpi 207;0
1-BTV3 6dpi 208;0
1-BTV3 6dpi 209;0
1-BTV3 6dpi 210;0
1-BTV3 6dpi 211;0
1-BTV3 6dpi 212;2.68E+02
1-BTV3 6dpi 213;0
1-BTV3 6dpi 214;0
1-BTV3 6dpi 215;2.28E+02
1-BTV3 6dpi 216;7.67E+01
1-BTV3 6dpi 217;0
1-BTV3 6dpi 218;0
1-BTV3 6dpi 219;0
1-BTV3 6dpi 220;0
1-BTV3 6dpi 221;0
1-BTV3 6dpi 222;0
1-BTV3 6dpi 223;0
1-BTV3 6dpi 224;0
1-BTV3 6dpi 225;0
1-BTV3 6dpi 226;1.34E+02
1-BTV3 6dpi 227;9.81E+01
1-BTV3 6dpi 228;0
1-BTV3 6dpi 229;0
1-BTV3 6dpi 230;0
1-BTV3 6dpi 231;0
1-BTV3 6dpi 232;0
1-BTV3 6dpi 233;0
1-BTV3 6dpi 234;0
1-BTV3 6dpi 235;0
1-BTV3 6dpi 236;0
1-BTV3 6dpi 237;5.81E+01
1-BTV3 6dpi 238;0
1-BTV3 6dpi 239;3.92E+03
1-BTV3 6dpi 240;0
1-BTV3 6dpi 241;0
1-BTV3 6dpi 242;0
1-BTV3 6dpi 243;4.93E+01
1-BTV3 6dpi 244;0
1-BTV3 6dpi 245;0
1-BTV3 6dpi 246;0
1-BTV3 6dpi 247;1.42E+02
1-BTV3 6dpi 248;0
1-BTV3 6dpi 249;0
1-BTV3 6dpi 250;0
1-BTV3 6dpi 251;0
1-BTV3 6dpi 252;0
1-BTV3 6dpi 253;0
1-BTV3 6dpi 254;0
1-BTV3 6dpi 255;0
1-BTV3 6dpi 256;0
1-BTV3 6dpi 257;0
1-BTV3 6dpi 258;0
1-BTV3 6dpi 259;0
1-BTV3 6dpi 260;0
1-BTV3 6dpi 261;1.46E+02
1-BTV3 6dpi 262;0
1-BTV3 6dpi 263;0
1-BTV3 6dpi 264;1.70E+02
1-BTV3 6dpi 265;0
1-BTV3 6dpi 266;0
1-BTV3 6dpi 267;0
1-BTV3 6dpi 268;1.60E+03
1-BTV3 6dpi 269;0
1-BTV3 6dpi 270;0
1-BTV3 6dpi 271;0
1-BTV3 6dpi 272;0
1-BTV3 6dpi 273;1.66E+02
1-BTV3 6dpi 274;0
1-BTV3 6dpi 275;0
1-BTV3 6dpi 276;0
1-BTV3 6dpi 277;0
1-BTV3 6dpi 278;0
1-BTV3 6dpi 279;0
1-BTV3 6dpi 280;6.72E+01
1-BTV3 6dpi 281;2.47E+02
1-BTV3 6dpi 282;0
1-BTV3 6dpi 283;0
1-BTV3 6dpi 284;0
1-BTV3 6dpi 285;0
1-BTV3 6dpi 286;0
1-BTV3 6dpi 287;0
1-BTV3 6dpi 288;0
1-BTV3 6dpi 289;0
1-BTV3 6dpi 290;0
1-BTV3 6dpi 291;1.21E+03
1-BTV3 6dpi 292;0
1-BTV3 6dpi 293;0
1-BTV3 6dpi 294;0
1-BTV3 6dpi 295;5.37E+01
1-BTV3 6dpi 296;0
1-BTV3 6dpi 297;3.96E+08
1-BTV3 6dpi 298;3.25E+01
1-BTV3 6dpi 299;0
1-BTV3 6dpi 300;5.96E+01
1-BTV3 6dpi 301;0
1-BTV3 6dpi 302;0
1-BTV3 6dpi 303;0
1-BTV3 6dpi 304;6.08E+01
1-BTV3 6dpi 305;8.92E+01
1-BTV3 6dpi 306;8.85E+02
1-BTV3 6dpi 307;0
1-BTV3 6dpi 308;0
1-BTV3 6dpi 309;0
1-BTV3 6dpi 310;0
1-BTV3 6dpi 311;0
1-BTV3 6dpi 312;0
1-BTV3 6dpi 313;6.56E+01
1-BTV3 6dpi 314;0
1-BTV3 6dpi 315;0
1-BTV3 6dpi 316;0
1-BTV3 6dpi 317;0
1-BTV3 6dpi 318;0
1-BTV3 6dpi 319;6.86E+01
1-BTV8 6dpi 1;0
1-BTV8 6dpi 2;2.76E+02
1-BTV8 6dpi 3;0
1-BTV8 6dpi 4;5.55E+01
1-BTV8 6dpi 5;5.76E+01
1-BTV8 6dpi 6;0
1-BTV8 6dpi 7;0
1-BTV8 6dpi 8;1.74E+02
1-BTV8 6dpi 9;0
1-BTV8 6dpi 10;2.06E+07
1-BTV8 6dpi 11;0
1-BTV8 6dpi 12;0
1-BTV8 6dpi 13;0
1-BTV8 6dpi 14;6.37E+01
1-BTV8 6dpi 15;5.97E+01
1-BTV8 6dpi 16;0
1-BTV8 6dpi 17;0
1-BTV8 6dpi 18;5.05E+01
1-BTV8 6dpi 19;3.28E+02
1-BTV8 6dpi 20;7.79E+06
1-BTV8 6dpi 21;0
1-BTV8 6dpi 22;0
1-BTV8 6dpi 23;0
1-BTV8 6dpi 24;2.67E+02
1-BTV8 6dpi 25;4.65E+03
1-BTV8 6dpi 26;0
1-BTV8 6dpi 27;5.69E+02
1-BTV8 6dpi 28;7.54E+02
1-BTV8 6dpi 29;0
1-BTV8 6dpi 30;1.81E+02
1-BTV8 6dpi 31;0
1-BTV8 6dpi 32;6.09E+01
1-BTV8 6dpi 33;8.19E+01
1-BTV8 6dpi 34;6.25E+02
1-BTV8 6dpi 35;4.51E+01
1-BTV8 6dpi 36;1.29E+02
1-BTV8 6dpi 37;6.28E+01
1-BTV8 6dpi 38;1.31E+02
1-BTV8 6dpi 39;0
1-BTV8 6dpi 40;4.56E+02
1-BTV8 6dpi 41;2.06E+02
1-BTV8 6dpi 42;0
1-BTV8 6dpi 43;1.71E+02
1-BTV8 6dpi 44;7.10E+01
1-BTV8 6dpi 45;0
1-BTV8 6dpi 46;1.95E+02
1-BTV8 6dpi 47;0
1-BTV8 6dpi 48;0
1-BTV8 6dpi 49;0
1-BTV8 6dpi 50;3.53E+02
1-BTV8 6dpi 51;2.12E+02
1-BTV8 6dpi 52;1.35E+02
1-BTV8 6dpi 53;1.60E+03
1-BTV8 6dpi 54;0
1-BTV8 6dpi 55;2.88E+02
1-BTV8 6dpi 56;0
1-BTV8 6dpi 57;1.10E+02
1-BTV8 6dpi 58;2.44E+02
1-BTV8 6dpi 59;2.83E+02
1-BTV8 6dpi 60;0
1-BTV8 6dpi 61;0
1-BTV8 6dpi 62;0
1-BTV8 6dpi 63;2.63E+02
1-BTV8 6dpi 64;3.76E+02
1-BTV8 6dpi 65;0
1-BTV8 6dpi 66;8.66E+02
1-BTV8 6dpi 67;0
1-BTV8 6dpi 68;0
1-BTV8 6dpi 69;0
1-BTV8 6dpi 70;1.87E+02
1-BTV8 6dpi 71;9.61E+01
1-BTV8 6dpi 72;2.40E+02
1-BTV8 6dpi 73;1.13E+05
1-BTV8 6dpi 74;0
1-BTV8 6dpi 75;1.44E+04
1-BTV8 6dpi 76;0
1-BTV8 6dpi 77;2.58E+02
1-BTV8 6dpi 78;1.98E+02
1-BTV8 6dpi 79;1.84E+02
1-BTV8 6dpi 80;2.05E+02
1-BTV8 6dpi 81;0
1-BTV8 6dpi 82;3.65E+02
1-BTV8 6dpi 83;7.57E+01
1-BTV8 6dpi 84;1.86E+02
1-BTV8 6dpi 85;0
1-BTV8 6dpi 86;1.12E+03
1-BTV8 6dpi 87;1.14E+03
1-BTV8 6dpi 88;1.15E+02
1-BTV8 6dpi 89;1.13E+02
1-BTV8 6dpi 90;0
1-BTV8 6dpi 91;3.53E+02
1-BTV8 6dpi 92;0
1-BTV8 6dpi 93;3.32E+02
1-BTV8 6dpi 94;1.83E+02
1-BTV8 6dpi 95;2.82E+02
1-BTV8 6dpi 96;0
1-BTV8 6dpi 97;2.38E+04
1-BTV8 6dpi 98;1.34E+05
1-BTV8 6dpi 99;2.39E+05
1-BTV8 6dpi 100;2.34E+03
1-BTV8 6dpi 101;1.79E+02
1-BTV8 6dpi 102;2.26E+03
1-BTV8 6dpi 103;2.05E+02
1-BTV8 6dpi 104;1.00E+02
1-BTV8 6dpi 105;4.58E+02
1-BTV8 6dpi 106;1.58E+07
1-BTV8 6dpi 107;1.00E+03
1-BTV8 6dpi 108;1.99E+02
1-BTV8 6dpi 109;9.74E+02
1-BTV8 6dpi 110;9.57E+01
1-BTV8 6dpi 111;0
1-BTV8 6dpi 112;1.58E+06
1-BTV8 6dpi 113;1.00E+02
1-BTV8 6dpi 114;3.93E+01
1-BTV8 6dpi 115;2.79E+02
1-BTV8 6dpi 116;3.66E+01
1-BTV8 6dpi 117;6.96E+02
1-BTV8 6dpi 118;0
1-BTV8 6dpi 119;1.56E+05
1-BTV8 6dpi 120;9.92E+01
1-BTV8 6dpi 121;2.61E+02
1-BTV8 6dpi 122;0
1-BTV8 6dpi 123;3.32E+03
1-BTV8 6dpi 124;3.68E+01
1-BTV8 6dpi 125;6.12E+07
1-BTV8 6dpi 126;1.29E+02
1-BTV8 6dpi 127;1.62E+02
1-BTV8 6dpi 128;3.80E+04
1-BTV8 6dpi 129;2.84E+01
1-BTV8 6dpi 130;8.66E+01
1-BTV8 6dpi 131;3.81E+01
1-BTV8 6dpi 132;2.67E+02
1-BTV8 6dpi 133;6.06E+02
1-BTV8 6dpi 134;5.66E+02
1-BTV8 6dpi 135;2.64E+03
1-BTV8 6dpi 136;9.52E+01
1-BTV8 6dpi 137;5.78E+02
1-BTV8 6dpi 138;7.96E+01
1-BTV8 6dpi 139;6.50E+01
1-BTV8 6dpi 140;2.71E+02
1-BTV8 6dpi 141;0
1-BTV8 6dpi 142;0
1-BTV8 6dpi 143;1.94E+02
1-BTV8 6dpi 144;0
1-BTV8 6dpi 145;6.49E+01
1-BTV8 6dpi 146;1.06E+02
1-BTV8 6dpi 147;1.63E+07
1-BTV8 6dpi 148;0
1-BTV8 6dpi 149;2.48E+02
1-BTV8 6dpi 150;1.21E+02
1-BTV8 6dpi 151;1.20E+04
1-BTV8 6dpi 152;3.15E+01
1-BTV8 6dpi 153;1.42E+02
1-BTV8 6dpi 154;1.77E+02
1-BTV8 6dpi 155;4.54E+03
1-BTV8 6dpi 156;4.28E+01
1-BTV8 6dpi 157;2.44E+02
1-BTV8 6dpi 158;4.41E+01
1-BTV8 6dpi 159;4.95E+02
1-BTV8 6dpi 160;0
1-BTV8 6dpi 161;6.47E+02
1-BTV8 6dpi 162;4.48E+02
1-BTV8 6dpi 163;0
1-BTV8 6dpi 164;2.31E+03
1-BTV8 6dpi 165;4.65E+01
1-BTV8 6dpi 166;1.23E+03
1-BTV8 6dpi 167;4.85E+02
1-BTV8 6dpi 168;1.04E+06
1-BTV8 6dpi 169;0
1-BTV8 6dpi 170;0
1-BTV8 6dpi 171;1.34E+02
1-BTV8 6dpi 172;0
1-BTV8 6dpi 173;2.16E+02
1-BTV8 6dpi 174;9.74E+02
1-BTV8 6dpi 175;0
1-BTV8 6dpi 176;4.51E+01
1-BTV8 6dpi 177;0
1-BTV8 6dpi 178;8.94E+01
1-BTV8 6dpi 179;0
1-BTV8 6dpi 180;5.03E+01
1-BTV8 6dpi 181;0
1-BTV8 6dpi 182;0
1-BTV8 6dpi 183;1.41E+02
1-BTV8 6dpi 184;0
1-BTV8 6dpi 185;0
1-BTV8 6dpi 186;0
1-BTV8 6dpi 187;4.36E+03
1-BTV8 6dpi 188;0
1-BTV8 6dpi 189;0
1-BTV8 6dpi 190;0
1-BTV8 6dpi 191;4.66E+01
1-BTV8 6dpi 192;0
1-BTV8 6dpi 193;4.54E+01
1-BTV8 6dpi 194;0
1-BTV8 6dpi 195;1.52E+02
1-BTV8 6dpi 196;0
1-BTV8 6dpi 197;6.50E+07
1-BTV8 6dpi 198;8.98E+01
1-BTV8 6dpi 199;0
1-BTV8 6dpi 200;0
1-BTV8 6dpi 201;0
1-BTV8 6dpi 202;0
1-BTV8 6dpi 203;0
1-BTV8 6dpi 204;0
1-BTV8 6dpi 205;0
1-BTV8 6dpi 206;9.34E+02
1-BTV8 6dpi 207;0
1-BTV8 6dpi 208;5.26E+01
1-BTV8 6dpi 209;0
1-BTV8 6dpi 210;5.66E+01
1-BTV8 6dpi 211;1.06E+02
1-BTV8 6dpi 212;0
1-BTV8 6dpi 213;3.01E+07
1-BTV8 6dpi 214;0
1-BTV8 6dpi 215;5.08E+01
1-BTV8 6dpi 216;0
1-BTV8 6dpi 217;2.29E+02
1-BTV8 6dpi 218;5.62E+02
1-BTV8 6dpi 219;0
1-BTV8 6dpi 220;4.57E+01
1-BTV8 6dpi 221;5.25E+01
1-BTV8 6dpi 222;1.93E+02
1-BTV8 6dpi 223;5.50E+03
1-BTV8 6dpi 224;2.28E+02
1-BTV8 6dpi 225;0
1-BTV8 6dpi 226;0
1-BTV8 6dpi 227;0
1-BTV8 6dpi 228;0
1-BTV8 6dpi 229;6.38E+03
1-BTV8 6dpi 230;2.85E+02
1-BTV8 6dpi 231;2.42E+02
1-BTV8 6dpi 232;1.57E+02
1-BTV8 6dpi 233;0
1-BTV8 6dpi 234;0
1-BTV8 6dpi 235;0
1-BTV8 6dpi 236;6.40E+01
1-BTV8 6dpi 237;3.49E+02
1-BTV8 6dpi 238;5.83E+01
1-BTV8 6dpi 239;0
1-BTV8 6dpi 240;0
1-BTV8 6dpi 241;0
1-BTV8 6dpi 242;6.54E+01
1-BTV8 6dpi 243;0
1-BTV8 6dpi 244;1.44E+03
1-BTV8 6dpi 245;1.30E+02
1-BTV8 6dpi 246;2.01E+02
1-BTV8 6dpi 247;1.29E+02
1-BTV8 6dpi 248;5.95E+01
1-BTV8 6dpi 249;5.68E+01
1-BTV8 6dpi 250;5.88E+01
1-BTV8 6dpi 251;0
1-BTV8 6dpi 252;1.38E+02
1-BTV8 6dpi 253;0
1-BTV8 6dpi 254;4.89E+02
1-BTV8 6dpi 255;0
1-BTV8 6dpi 256;5.02E+01
1-BTV8 6dpi 257;5.70E+01
1-BTV8 6dpi 258;0
1-BTV8 6dpi 259;0
1-BTV8 6dpi 260;0
1-BTV8 6dpi 261;0
1-BTV8 6dpi 262;6.58E+04
1-BTV8 6dpi 263;5.42E+01
1-BTV8 6dpi 264;0
1-BTV8 6dpi 265;0
1-BTV8 6dpi 266;1.38E+02
1-BTV8 6dpi 267;0
1-BTV8 6dpi 268;2.43E+02
1-BTV8 6dpi 269;0
1-BTV8 6dpi 270;0
1-BTV8 6dpi 271;1.31E+02
1-BTV8 6dpi 272;1.47E+02
1-BTV8 6dpi 273;0
1-BTV8 6dpi 274;0
1-BTV8 6dpi 275;0
1-BTV8 6dpi 276;3.47E+07
1-BTV8 6dpi 277;0
1-BTV8 6dpi 278;1.17E+03
1-BTV8 6dpi 279;0
1-BTV8 6dpi 280;7.32E+01
1-BTV8 6dpi 281;8.31E+01
1-BTV8 6dpi 282;8.40E+01
1-BTV8 6dpi 283;1.34E+07
1-BTV8 6dpi 284;0
1-BTV8 6dpi 285;0
1-BTV8 6dpi 286;0
1-BTV8 6dpi 287;0
1-BTV8 6dpi 288;0
1-BTV8 6dpi 289;0
1-BTV8 6dpi 290;9.92E+01
1-BTV8 6dpi 291;5.74E+03
1-BTV8 6dpi 292;3.86E+02
1-BTV8 6dpi 293;0
1-BTV8 6dpi 294;3.77E+01
1-BTV8 6dpi 295;1.48E+02
1-BTV8 6dpi 296;0
1-BTV8 6dpi 297;0
1-BTV8 6dpi 298;0
1-BTV8 6dpi 299;0
1-BTV8 6dpi 300;7.58E+01
1-BTV8 6dpi 301;1.58E+02
1-BTV8 6dpi 302;0
1-BTV8 6dpi 303;0
1-BTV8 6dpi 304;0
1-BTV8 6dpi 305;1.35E+02
1-BTV8 6dpi 306;0
1-BTV8 6dpi 307;0
1-BTV8 6dpi 308;0
1-BTV8 6dpi 309;0
1-BTV8 6dpi 310;7.19E+01
1-BTV8 6dpi 311;1.61E+02
1-BTV8 6dpi 312;0
1-BTV8 6dpi 313;0
1-BTV8 6dpi 314;0
1-BTV8 6dpi 315;0
1-BTV8 6dpi 316;0
1-BTV8 6dpi 317;0
1-BTV8 6dpi 318;0
1-BTV8 6dpi 319;1.13E+02
